,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.8047356292998264,0.030480083087293847,0.5289071318146564,0.06932875221508315
Q1_Q3_0.25,0.8149426665925936,0.029390899746782845,0.5003725771244952,0.04728107433398308
Q1_Q4_0.25,0.6787412043416652,0.05758314393935215,0.4776858435681965,0.006069967429577366
Q2_Q3_0.25,0.842871617213891,0.042520155511133265,0.5003725771244952,0.04728107433398308
Q2_Q4_0.25,0.741411802342372,0.06777611458798549,0.5003725771244952,0.04728107433398308
Q3_Q4_0.25,0.8020812738288537,0.04390984365843365,0.5162208262384644,0.04791772795158865
Q1_0.25,0.8416776113640397,0.02845159749187279,0.49764850226871926,0.04188055260908069
Q2_0.25,0.8361635964480458,0.03745613994570433,0.49764850226871926,0.04188055260908069
Q3_0.25,0.8699019918874316,0.022587026224226713,0.5413061096114259,0.08563204941981992
Q4_0.25,0.7698894528280336,0.039554806196308544,0.4771642556226735,0.006733258822546334
Q1_Q2_0.5,0.6535698650807354,0.05505622308642253,0.4776858435681965,0.006069967429577366
Q1_Q3_0.5,0.7660914808211559,0.06950646680283966,0.4771642556226735,0.006733258822546334
Q1_Q4_0.5,0.6035683454706742,0.04234765627003521,0.4776858435681965,0.006069967429577366
Q2_Q3_0.5,0.7947286449422597,0.05709250742609149,0.5020665242685702,0.046722999048160185
Q2_Q4_0.5,0.7236593661035519,0.04212153453499729,0.4935340926821657,0.0285752196216913
Q3_Q4_0.5,0.7116834510508698,0.029927804283179472,0.4776858435681965,0.006069967429577366
Q1_0.5,0.6964586818079537,0.0850176117557289,0.4776858435681965,0.006069967429577366
Q2_0.5,0.7885143963650147,0.05478335815815788,0.49985098917897225,0.047619938192351934
Q3_0.5,0.776919385731618,0.044180123613156985,0.5563251611258598,0.11209170731411432
Q4_0.5,0.8204055442868954,0.041680531956683024,0.49985098917897225,0.047619938192351934
Q1_Q2_0.75,0.5464023896827829,0.048896765093008186,0.4776858435681965,0.006069967429577366
Q1_Q3_0.75,0.6034965223020068,0.056255498594497945,0.4776858435681965,0.006069967429577366
Q1_Q4_0.75,0.5691017182214153,0.03599325450268241,0.4776858435681965,0.006069967429577366
Q2_Q3_0.75,0.7432128522417841,0.044658640444059185,0.4953235716937295,0.03728230422911362
Q2_Q4_0.75,0.5165246908340061,0.03663206652505156,0.4776858435681965,0.006069967429577366
Q3_Q4_0.75,0.5323294777829227,0.034732332710846636,0.4776858435681965,0.006069967429577366
Q1_0.75,0.7675521554791781,0.08277843094983874,0.4776858435681965,0.006069967429577366
Q2_0.75,0.7390406766260578,0.04195143820449977,0.47718417132739377,0.0058955496106883635
Q3_0.75,0.7694626547063238,0.06601932892360572,0.4953235716937295,0.03728230422911362
Q4_0.75,0.5301750401764675,0.04206477506331443,0.4776858435681965,0.006069967429577366
Q1_Q2_1.0,0.48374434513891823,0.013740089597203,0.4776858435681965,0.006069967429577366
Q1_Q3_1.0,0.6285893315649407,0.07752621908196276,0.4776858435681965,0.006069967429577366
Q1_Q4_1.0,0.48374434513891823,0.013740089597202998,0.4776858435681965,0.006069967429577366
Q2_Q3_1.0,0.6719052469167719,0.058691068124104476,0.4776858435681965,0.006069967429577366
Q2_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q3_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_1.0,0.6452194750467702,0.06973847111618395,0.4776858435681965,0.006069967429577366
Q2_1.0,0.7303330115638081,0.05539414300837974,0.47667762848231143,0.005890081514744897
Q3_1.0,0.7288276470640673,0.03169320182762456,0.49764850226871926,0.04188055260908069
Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
